Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Jun 24 2022,382175,391365,382175,391174.00,391174,6742870000
Jun 27 2022,392076,392772,388966,390011.00,390011,3385120000
Jun 28 2022,391300,394586,382014,382155.00,382155,3590980000
Jun 29 2022,382509,383650,379902,381883.00,381883,3458850000
Jun 30 2022,378599,381899,373867,378538.00,378538,4032260000
Jul 01 2022,378100,382982,375210,382533.00,382533,3268240000
Jul 05 2022,379261,383219,374206,383139.00,383139,4427900000
Jul 06 2022,383198,387091,380937,384508.00,384508,3613120000
Jul 07 2022,385885,391063,385885,390262.00,390262,3337710000
Jul 08 2022,388826,391850,386934,389938.00,389938,2844620000
Jul 11 2022,388094,388094,384722,385443.00,385443,3023830000
Jul 12 2022,385195,387341,380236,38188.00,381880,3138460000
Jul 13 2022,377967,382944,375907,380178.00,380178,3166580000
Jul 14 2022,376399,379641,372156,379038.00,379038,3447500000
Jul 15 2022,381800,386362,381718,386316.00,386316,3537130000
Jul 18 2022,388379,390244,381863,383085.00,383085,3414470000
Jul 19 2022,386073,393981,386073,393669.00,393669,3160350000
Jul 20 2022,393532,397413,392203,39599.00,395990,3452150000
Jul 21 2022,395547,399929,392764,399895.00,399895,3586030000
Jul 22 2022,399843,401244,393886,396163.00,396163,3246220000
Jul 25 2022,396572,397530,394346,396684.00,396684,2988650000
Jul 26 2022,395322,395322,391074,392105.00,392105,3083420000
Jul 27 2022,395143,403956,395143,402361.00,402361,3584170000
Jul 28 2022,402613,407895,399297,407243.00,407243,3882850000
Jul 29 2022,408733,414015,407922,413029.00,413029,3817740000
Aug 01 2022,411238,414495,409602,411863.00,411863,3540960000
Aug 02 2022,410421,414047,407981,409119.00,409119,3880790000
Aug 03 2022,410796,416766,410796,415517.00,415517,3544410000
Aug 04 2022,415485,416129,413542,415194.00,415194,3565810000
Aug 05 2022,411587,415158,410731,414519.00,414519,3540260000
Aug 08 2022,415593,418662,412897,414006.00,414006,3604650000
Aug 09 2022,413311,413730,411209,412247.00,412247,3337150000
Aug 10 2022,418102,421103,417726,421024.00,421024,3998590000
Aug 11 2022,422740,425791,420141,420727.00,420727,3925060000
Aug 12 2022,422502,428047,421978,428015.00,428015,3252290000
Aug 15 2022,426937,430179,425690,429714.00,429714,3087740000
Aug 16 2022,429046,432528,427777,43052.00,430520,3792010000
Aug 17 2022,428040,430218,425308,427404.00,427404,3293430000
Aug 18 2022,427313,429253,426198,428374.00,428374,2871990000
Aug 19 2022,426631,426631,421870,422848.00,422848,3210680000
Aug 22 2022,419508,419508,412986,413799.00,413799,3365220000
Aug 23 2022,413309,415977,412403,412873.00,412873,3117800000
Aug 24 2022,412655,415656,411997,414077.00,414077,3056910000
Aug 25 2022,415326,420054,414759,419912.00,419912,2976050000
Aug 26 2022,419874,420304,405766,405766.00,405766,3175260000
Aug 29 2022,403458,406299,401742,403061.00,403061,2963020000
Aug 30 2022,404125,404498,396521,398616.00,398616,3190580000
Aug 31 2022,400067,401537,395453,3955.00,395500,3797860000
Sep 01 2022,393673,397023,390365,396685.00,396685,3754570000
Sep 02 2022,399466,401843,390621,392426.00,392426,4134920000
Sep 06 2022,393089,394255,388675,390819.00,390819,4127340000
Sep 07 2022,390943,398789,390603,397987.00,397987,3890320000
Sep 08 2022,395994,401050,394481,400618.00,400618,3966850000
Sep 09 2022,402294,407681,402294,406736.00,406736,3901940000
Sep 12 2022,408367,411928,408367,411041.00,411041,3814200000
Sep 13 2022,403712,403712,392128,393269.00,393269,4224550000
Sep 14 2022,394073,396194,391218,394601.00,394601,4293240000
Sep 15 2022,393241,395914,388828,390135.00,390135,4441830000
Sep 16 2022,388095,388095,383708,387333.00,387333,7954650000
Sep 19 2022,384991,390045,383850,389989.00,389989,3766850000
Sep 20 2022,387523,387601,382754,385593.00,385593,4058050000
Sep 21 2022,387140,390707,378949,378993.00,378993,4078330000
Sep 22 2022,378236,379090,374945,375799.00,375799,4284600000
Sep 23 2022,372714,372714,364747,369323.00,369323,5144270000
Sep 26 2022,368272,371567,364476,365504.00,365504,4886140000
Sep 27 2022,368644,371753,362329,364729.00,364729,4577740000
Sep 28 2022,365194,373674,364061,371904.00,371904,4684850000
Sep 29 2022,368701,368701,361040,364047.00,364047,4681810000
Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
